##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	160123_I132_FCH3YHMBBXX_L4_OYSzenG1AAD96FAAPEI-109_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	364261046
Sequences flagged as poor quality	0
Sequence length	100
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1104	20-21	-0.13864792771865808
1104	22-23	-0.10478854051937248
1104	24-25	-0.10652169006136347
1104	26-27	-0.21511200842544298
1104	28-29	-0.13864855814846067
1104	30-31	-0.22104809738101494
1104	32-33	-0.15441853767619307
1104	34-35	-0.09935014713244072
1104	36-37	-0.15564985321004343
1104	38-39	-0.06848570484046945
1104	40-41	-0.14308321886568365
1104	42-43	-0.12923593633549046
1104	44-45	-0.08281263777936232
1104	46-47	-0.08421871261374747
1104	48-49	-0.06153779600076348
1104	50-51	-0.09455508077817854
1104	52-53	-0.1477103355576901
1104	54-55	-0.1521349058164887
1104	56-57	-0.15752856382234626
1104	58-59	-0.1913597929443398
1104	60-61	-0.0832437096041545
1104	62-63	-0.07991935802265715
1104	64-65	-0.1398362553905912
1104	66-67	-0.19491800162151662
1104	68-69	-0.19994443170533316
1104	70-71	-0.19463587225622803
1104	72-73	-0.15515149489656466
1104	74-75	-0.31936543216976787
1104	76-77	-0.2955419336553433
1104	78-79	-0.14913588301190117
1104	80-81	-0.01218499545402807
1104	82-83	-0.004597014150036216
1104	84-85	-0.056130685977962
1104	86-87	-0.0968932262367801
1104	88-89	-0.14649219667279567
1104	90-91	-0.06146168336500324
1104	92-93	-0.1186440234817212
1104	94-95	-0.09471572665712102
1104	96-97	-0.1533805503070269
1104	98-99	-0.10332563477241052
1104	100	-0.0579589818294437
1105	1	0.07011535184883044
1105	2	-0.05420162513011206
1105	3	-0.07287824859395897
1105	4	-0.0582271053358383
1105	5	-0.07414565404425133
1105	6	-0.14212361925151384
1105	7	-0.13893941929847387
1105	8	0.00893979675136336
1105	9	-0.10621130831740544
1105	10-11	-0.05031899424735542
1105	12-13	-0.03143710785780485
1105	14-15	-0.005340716888873942
1105	16-17	-0.01500918833324505
1105	18-19	-0.025284416981911306
1105	20-21	-0.03706186771569264
1105	22-23	-0.08747437835782534
1105	24-25	-0.04977422693106348
1105	26-27	-0.006969359838350897
1105	28-29	0.0209694319271847
1105	30-31	-0.0029841466696538532
1105	32-33	0.007625882950279106
1105	34-35	-0.04594325368940133
1105	36-37	-0.0324039858549412
1105	38-39	-0.037593673104126424
1105	40-41	-0.1498250231561471
1105	42-43	-0.16025781236614733
1105	44-45	-0.1346693658815994
1105	46-47	-0.1293308583612287
1105	48-49	-0.06108631288363142
1105	50-51	-0.06318144303777729
1105	52-53	-0.03138827439489944
1105	54-55	-0.13671593581576502
1105	56-57	-0.19196025975396225
1105	58-59	-0.08943651970776756
1105	60-61	-0.06416272493232356
1105	62-63	-0.057310134692841075
1105	64-65	-0.0504951129021336
1105	66-67	-0.0676498712813185
1105	68-69	-0.06704425398488922
1105	70-71	-0.07315683970646347
1105	72-73	-0.1154844947854059
1105	74-75	-0.14333488378121473
1105	76-77	-0.13125928786938346
1105	78-79	-0.16315607515975472
1105	80-81	-0.012038889225166827
1105	82-83	0.06929377320683727
1105	84-85	-0.0456962750251364
1105	86-87	-0.006161126722773247
1105	88-89	-0.049120972184731215
1105	90-91	-0.058560497843942017
1105	92-93	-0.03305281819832828
1105	94-95	-0.011586674684778586
1105	96-97	-0.05279754586084806
1105	98-99	-0.04784794123538916
1105	100	-0.020778512380111636
1106	1	0.038116700238120416
1106	2	-0.04361771478588494
1106	3	-0.11438134688923185
1106	4	-0.10163877225149776
1106	5	-0.03774597380807876
1106	6	-0.09831354633490008
1106	7	-0.009945918428797995
1106	8	-0.05873912557606076
1106	9	-0.10120441663582369
1106	10-11	-0.07046515133560405
1106	12-13	-0.18640215400710503
1106	14-15	-0.12596036326355176
1106	16-17	-0.08562714922828008
1106	18-19	-0.09125925302191007
1106	20-21	-0.12799742034172823
1106	22-23	-0.1329291230760603
1106	24-25	-0.14210892969232702
1106	26-27	-0.1503117195727981
1106	28-29	-0.10917870343165248
1106	30-31	-0.22763826548528954
1106	32-33	-0.15383544238235913
1106	34-35	-0.10167325437834762
1106	36-37	-0.10252938226845743
1106	38-39	-0.11768067498212531
1106	40-41	-0.1064513077026632
1106	42-43	-0.053578085792487684
1106	44-45	-0.03284013034741662
1106	46-47	-0.10833979035930241
1106	48-49	-0.12055230743493439
1106	50-51	-0.08905841290502536
1106	52-53	-0.18957782448611482
1106	54-55	-0.1886835317772153
1106	56-57	-0.19296566984805708
1106	58-59	-0.08765990018684278
1106	60-61	-0.15658696210616796
1106	62-63	-0.16519108429735496
1106	64-65	-0.1329096120410398
1106	66-67	-0.13065858615767212
1106	68-69	-0.11282426744860885
1106	70-71	-0.14095066445203486
1106	72-73	-0.15329963207834396
1106	74-75	-0.11312548445646087
1106	76-77	-0.15646039120448307
1106	78-79	-0.1452567118374546
1106	80-81	-0.019572116758716618
1106	82-83	-0.0022471824762959614
1106	84-85	-0.08034394107748
1106	86-87	-0.11804186038763476
1106	88-89	-0.1127022930871675
1106	90-91	-0.09234084936000642
1106	92-93	-0.03928822712937574
1106	94-95	-0.02878035303857729
1106	96-97	-0.10074287700811624
1106	98-99	-0.131465750160622
1106	100	-0.11036586648753399
1107	1	0.052612639984605636
1107	2	-0.1179567648785671
1107	3	-0.3904658315812739
1107	4	-0.2851565445379478
1107	5	-0.08482790534655749
1107	6	-0.1353282134334748
1107	7	-0.0026873907562077193
1107	8	-0.029720944005376282
1107	9	-0.09545908192951913
1107	10-11	-0.10788372828577764
1107	12-13	-0.17416000275739663
1107	14-15	-0.11782254368782219
1107	16-17	-0.2567813643999628
1107	18-19	-0.1212768232102448
1107	20-21	-0.3511008262045081
1107	22-23	-0.27540480306760884
1107	24-25	-0.1494082764829443
1107	26-27	-0.10428482265139394
1107	28-29	-0.09836065361564295
1107	30-31	-0.16513413515642839
1107	32-33	-0.15109621320544164
1107	34-35	-0.07622833413802965
1107	36-37	-0.22803555857925062
1107	38-39	-0.10923348147836975
1107	40-41	-0.20688245120771853
1107	42-43	-0.2087580717636257
1107	44-45	-0.21142362461232977
1107	46-47	-0.1454655314584059
1107	48-49	-0.27755552141798034
1107	50-51	-0.2861994697442327
1107	52-53	-0.23071119008351104
1107	54-55	-0.19648380721324799
1107	56-57	-0.25439032300537434
1107	58-59	-0.22726057126599386
1107	60-61	-0.19008326366330408
1107	62-63	-0.2051517061328738
1107	64-65	-0.2348257888329428
1107	66-67	-0.24942504444225477
1107	68-69	-0.27277893402976616
1107	70-71	-0.2666894966952924
1107	72-73	-0.36046857742424976
1107	74-75	-0.36882157447240616
1107	76-77	-0.325951218806793
1107	78-79	-0.31043736652758014
1107	80-81	-0.06837316548331529
1107	82-83	-0.04297508674362405
1107	84-85	-0.23295028827463682
1107	86-87	-0.18473433948441453
1107	88-89	-0.2905626272616644
1107	90-91	-0.2528473740841477
1107	92-93	-0.16643124120535902
1107	94-95	-0.11917410806906048
1107	96-97	-0.1388991826088244
1107	98-99	-0.1180799100726091
1107	100	-0.07597635560151872
1108	1	0.06292745506206643
1108	2	-0.07848855716001069
1108	3	-0.36394387144220275
1108	4	-0.19745173421150497
1108	5	-0.07266920310047453
1108	6	-0.18723629777955608
1108	7	-0.14600712815818895
1108	8	-0.1537969713466012
1108	9	-0.212558171261243
1108	10-11	-0.13479920491506192
1108	12-13	-0.08953282932290563
1108	14-15	-0.2019422059117133
1108	16-17	-0.26971407672515113
1108	18-19	-0.08865427361211431
1108	20-21	-0.09669287204226151
1108	22-23	-0.07824326548393401
1108	24-25	-0.10863351082770834
1108	26-27	-0.1871502081428389
1108	28-29	-0.08134338682391729
1108	30-31	-0.09560340593997552
1108	32-33	-0.11281522460507176
1108	34-35	-0.07336493024669721
1108	36-37	-0.07558219655625464
1108	38-39	-0.16532265846350924
1108	40-41	-0.14115416873696773
1108	42-43	-0.141826460289316
1108	44-45	-0.11763028014209453
1108	46-47	-0.2099740017939311
1108	48-49	-0.19566154278829373
1108	50-51	-0.20055564543872606
1108	52-53	-0.11687167058872205
1108	54-55	-0.06335972653744193
1108	56-57	-0.2727750586245392
1108	58-59	-0.20337283066906764
1108	60-61	-0.11424037597661396
1108	62-63	-0.15610840489996036
1108	64-65	-0.22071319178117932
1108	66-67	-0.21633173444203635
1108	68-69	-0.2524138693898408
1108	70-71	-0.21145591475089276
1108	72-73	-0.17552565206373316
1108	74-75	-0.20863764987571898
1108	76-77	-0.551812254873461
1108	78-79	-0.2748703940191888
1108	80-81	-0.2261234912377219
1108	82-83	-0.05267310982631557
1108	84-85	-0.06247636506328291
1108	86-87	-0.10052344233614008
1108	88-89	-0.14330472282432538
1108	90-91	-0.16188010792370022
1108	92-93	-0.165217363520739
1108	94-95	-0.1698046646175655
1108	96-97	-0.20815143729428343
1108	98-99	-0.2155533696922589
1108	100	-0.08202221454185832
1109	1	0.045490280967722896
1109	2	-0.08650656622546293
1109	3	-0.1381408651183733
1109	4	-0.10262507950186261
1109	5	-0.0047045503795644095
1109	6	-0.12481185026467045
1109	7	-0.05671913403796225
1109	8	-0.013698949441987907
1109	9	-0.03181332423300631
1109	10-11	-0.018982261717702897
1109	12-13	-0.05051509451740088
1109	14-15	-0.02466962892891189
1109	16-17	-0.06693900203175218
1109	18-19	-0.03417411321733965
1109	20-21	4.275504254991347E-5
1109	22-23	-0.05516934566561105
1109	24-25	-0.03863592921256043
1109	26-27	-0.0631799655106704
1109	28-29	-0.07548671516038041
1109	30-31	-0.040972029545905286
1109	32-33	-0.06315912639210097
1109	34-35	-0.03128511624769459
1109	36-37	-0.04450788101364367
1109	38-39	-0.037719869100698133
1109	40-41	-0.07631355296130238
1109	42-43	-0.14481091400275403
1109	44-45	-0.11330180978496429
1109	46-47	-0.07798774946235909
1109	48-49	-0.08764343422600263
1109	50-51	-0.12649000688850265
1109	52-53	-0.11444982662852965
1109	54-55	-0.10099050884646488
1109	56-57	-0.042943748367385126
1109	58-59	-0.04871709511266431
1109	60-61	-0.12268877172835602
1109	62-63	-0.16592009954236886
1109	64-65	-0.18431434309299988
1109	66-67	-0.23446549297738528
1109	68-69	-0.1807489527367636
1109	70-71	-0.13050404540643257
1109	72-73	-0.1829147709764598
1109	74-75	-0.14926099509306567
1109	76-77	-0.22727853424267153
1109	78-79	-0.0705748982844625
1109	80-81	-0.028242724128297425
1109	82-83	0.013919757329006188
1109	84-85	-0.045709149231960566
1109	86-87	-0.085386569302905
1109	88-89	-0.06551637860985693
1109	90-91	-0.06682483181358378
1109	92-93	-0.02407355622389673
1109	94-95	-0.007665540319592878
1109	96-97	-0.06449281036849897
1109	98-99	-0.09447473157550235
1109	100	-0.06016732891940535
1110	1	0.03490207082718655
1110	2	-0.0855455014742752
1110	3	-0.03031911440159263
1110	4	-0.08179744214238838
1110	5	-0.06673160964368208
1110	6	-0.024509208120377934
1110	7	-0.01898868770034312
1110	8	-0.05431884994413139
1110	9	-0.09439986498499309
1110	10-11	-0.06389828781822615
1110	12-13	-0.043938790910608816
1110	14-15	6.706639653302204E-4
1110	16-17	-0.0919030611091145
1110	18-19	-0.07036563827303866
1110	20-21	-0.023664193359472563
1110	22-23	-0.03930708008166306
1110	24-25	-0.06963255365563725
1110	26-27	-0.07136760864699454
1110	28-29	-0.02650937909693596
1110	30-31	-0.0712137464828757
1110	32-33	-0.040582316848912114
1110	34-35	-0.07209603612871263
1110	36-37	-0.054382214930868145
1110	38-39	-0.08429499541998098
1110	40-41	-0.06522725410786734
1110	42-43	-0.08937715068652352
1110	44-45	-0.07809915594602757
1110	46-47	-0.08723165212278872
1110	48-49	-0.03718913395263712
1110	50-51	-0.030173302355336773
1110	52-53	-0.0387048433821775
1110	54-55	-0.025173567393594
1110	56-57	-0.04574011720107052
1110	58-59	-0.013871552335920967
1110	60-61	-0.051206666839114234
1110	62-63	-0.06248412390743141
1110	64-65	-0.09031479321508584
1110	66-67	-0.06287594613154823
